location,year_week,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
China,2020-02-24/2020-03-01,2926.0,427.0,79968.0,2873.0,,,
China,2020-03-02/2020-03-08,891.0,228.0,80859.0,3101.0,,,
China,2020-03-09/2020-03-15,189.0,103.0,81048.0,3204.0,,,
China,2020-03-16/2020-03-22,450.0,63.0,81498.0,3267.0,,,
China,2020-03-23/2020-03-29,843.0,39.0,82341.0,3306.0,,,
China,2020-03-30/2020-04-05,589.0,32.0,82930.0,3338.0,,,
China,2020-04-06/2020-04-12,552.0,11.0,83482.0,3349.0,,,
China,2020-04-13/2020-04-19,719.0,1293.0,84201.0,4642.0,,,
China,2020-04-20/2020-04-26,137.0,0.0,84338.0,4642.0,,,
China,2020-04-27/2020-05-03,55.0,1.0,84393.0,4643.0,,,
China,2020-05-04/2020-05-10,37.0,0.0,84430.0,4643.0,,,
China,2020-05-11/2020-05-17,54.0,2.0,84484.0,4645.0,,,
China,2020-05-18/2020-05-24,41.0,0.0,84525.0,4645.0,,,
China,2020-05-25/2020-05-31,45.0,0.0,84570.0,4645.0,,,
China,2020-06-01/2020-06-07,59.0,0.0,84629.0,4645.0,,,
China,2020-06-08/2020-06-14,100.0,0.0,84729.0,4645.0,,,
China,2020-06-15/2020-06-21,268.0,1.0,84997.0,4646.0,,,
China,2020-06-22/2020-06-28,193.0,2.0,85190.0,4648.0,,,
China,2020-06-29/2020-07-05,116.0,0.0,85306.0,4648.0,,,
China,2020-07-06/2020-07-12,216.0,0.0,85522.0,4648.0,,,
China,2020-07-13/2020-07-19,415.0,5.0,85937.0,4653.0,,,
China,2020-07-20/2020-07-26,902.0,6.0,86839.0,4659.0,,,
China,2020-07-27/2020-08-02,1463.0,15.0,88302.0,4674.0,,,
China,2020-08-03/2020-08-09,847.0,14.0,89149.0,4688.0,,,
China,2020-08-10/2020-08-16,612.0,22.0,89761.0,4710.0,,,
China,2020-08-17/2020-08-23,380.0,7.0,90141.0,4717.0,,,
China,2020-08-24/2020-08-30,210.0,11.0,90351.0,4728.0,,,
China,2020-08-31/2020-09-06,166.0,7.0,90517.0,4735.0,,,
China,2020-09-07/2020-09-13,149.0,6.0,90666.0,4741.0,,,
China,2020-09-14/2020-09-20,174.0,3.0,90840.0,4744.0,,,
China,2020-09-21/2020-09-27,126.0,2.0,90966.0,4746.0,,,
China,2020-09-28/2020-10-04,155.0,0.0,91121.0,4746.0,,,
China,2020-10-05/2020-10-11,184.0,0.0,91305.0,4746.0,,,
China,2020-10-12/2020-10-18,184.0,0.0,91489.0,4746.0,,,
China,2020-10-19/2020-10-25,185.0,0.0,91674.0,4746.0,,,
China,2020-10-26/2020-11-01,247.0,0.0,91921.0,4746.0,,,
China,2020-11-02/2020-11-08,274.0,2.0,92195.0,4748.0,,,
China,2020-11-09/2020-11-15,233.0,1.0,92428.0,4749.0,,,
China,2020-11-16/2020-11-22,220.0,0.0,92648.0,4749.0,,,
China,2020-11-23/2020-11-29,681.0,1.0,93329.0,4750.0,,,
China,2020-11-30/2020-12-06,831.0,3.0,94160.0,4753.0,,,
China,2020-12-07/2020-12-13,790.0,3.0,94950.0,4756.0,,,
