location,year_month,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Russia,2024-03,120492.0,358.0,24078278.0,402520.0,,,
Russia,2024-04,69311.0,254.0,24147589.0,402774.0,,,
Russia,2024-05,45662.0,152.0,24193251.0,402926.0,,,
Russia,2024-06,44926.0,165.0,24238177.0,403091.0,,,
Russia,2024-07,22774.0,87.0,24260951.0,403178.0,,,
Russia,2024-08,7777.0,10.0,24268728.0,403188.0,,,
Spain,2020-01,3.0,0.0,3.0,0.0,,,
Spain,2020-02,16.0,1.0,19.0,1.0,,,
Spain,2020-03,108845.0,8576.0,108864.0,8577.0,,,
Spain,2020-04,110812.0,16569.0,219676.0,25146.0,,,
Spain,2020-05,27333.0,4022.0,247009.0,29168.0,,,
Spain,2020-06,9951.0,570.0,256960.0,29738.0,,,
Spain,2020-07,32414.0,149.0,289374.0,29887.0,,,
Spain,2020-08,201887.0,1143.0,491261.0,31030.0,,,
Spain,2020-09,292855.0,2897.0,784116.0,33927.0,,,
Spain,2020-10,369369.0,4331.0,1153485.0,38258.0,,,
Spain,2020-11,530112.0,10502.0,1683597.0,48760.0,,,
Spain,2020-12,235952.0,5204.0,1919549.0,53964.0,,,
Spain,2021-01,940339.0,12415.0,2859888.0,66379.0,1251369.0,357892.0,1609261.0
Spain,2021-02,295578.0,8781.0,3155466.0,75160.0,2567617.0,1261848.0,3829465.0
Spain,2021-03,143146.0,2769.0,3298612.0,77929.0,5314076.0,2721084.0,8035160.0
Spain,2021-04,220390.0,2199.0,3519002.0,80128.0,11763360.0,4689766.0,16364595.0
Spain,2021-05,192596.0,1718.0,3711598.0,81846.0,18178604.0,9405245.0,27119733.0
Spain,2021-06,106007.0,597.0,3817605.0,82443.0,25627278.0,17990526.0,42027584.0
Spain,2021-07,576564.0,737.0,4394169.0,83180.0,31851618.0,26933847.0,56186601.0
Spain,2021-08,487804.0,3423.0,4881973.0,86603.0,36533328.0,33376693.0,66130220.0
Spain,2021-09,89528.0,1630.0,4971501.0,88233.0,37702384.0,36667138.0,70153507.0
Spain,2021-10,58785.0,701.0,5030286.0,88934.0,38037531.0,37317388.0,72058020.0
Spain,2021-11,141298.0,606.0,5171584.0,89540.0,38356928.0,37624032.0,76680144.0
Spain,2021-12,928554.0,1735.0,6100138.0,91275.0,39664717.0,37869504.0,83529796.0
