location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2021-12-13/2021-12-19,31489.0,0.0121571428571428,20328607.0,0.1038964552663549,-0.4493598127106309,0.9165238485191493,-0.24280628409341576,Low
Australia,2021-12-20/2021-12-26,99764.0,0.0203,20410720.0,0.32916656493355234,-0.4023370352820913,0.9202554698902299,-0.11427300036549026,Low
Australia,2021-12-27/2022-01-02,289614.0,0.0639,20460234.0,0.9555675948906002,-0.15055893578752644,0.9225056312601431,0.2867123252306444,Low
Australia,2022-01-03/2022-01-09,588813.0,0.2303,20529932.0,1.9427604406220658,0.8103556457697119,0.925673053547985,1.1161537382982343,High
Australia,2022-01-10/2022-01-16,462325.0,0.4125714285714285,20938457.0,1.5254193109027765,1.8629233952622255,0.9442384527006243,1.2730970758880735,High
Australia,2022-01-17/2022-01-23,347960.0,0.3942,21352957.0,1.1480774421061593,1.7568334096953813,0.963075385443465,1.0444691066299432,High
Australia,2022-01-24/2022-01-30,267817.0,0.3708428571428571,21647934.0,0.8836494318672987,1.6219522849661494,0.9764806011483744,0.8630359254995453,High
Australia,2022-01-31/2022-02-06,201112.0,0.2925833333333333,21813079.0,0.6635594624004308,1.1700248956975363,0.9839856078017313,0.5936906035240934,Moderate
Australia,2022-02-07/2022-02-13,171754.0,0.2658285714285714,21911397.0,0.5666941401066251,1.0155234483394964,0.9884536646253999,0.4905122272783263,Moderate
Australia,2022-02-14/2022-02-20,160429.0,0.24475,21980295.0,0.5293278421647576,0.8938004516801812,0.9915847309513739,0.4287563695277361,Low
Australia,2022-02-21/2022-02-27,160402.0,0.2656714285714286,22047151.0,0.5292387569511213,1.0146159912312267,0.99462299868468,0.47054152560378804,Moderate
Australia,2022-02-28/2022-03-06,195717.0,0.2980428571428571,22093332.0,0.6457589169349672,1.201552155534858,0.9967216920284607,0.5939144591004148,Moderate
Australia,2022-03-07/2022-03-13,241848.0,0.3649714285714285,22130630.0,0.7979659536110197,1.5880463875571502,0.99841669786065,0.8050367077714149,High
Australia,2022-03-14/2022-03-20,327240.0,0.4293999999999999,22163996.0,1.0797127892712368,1.9601038019478734,0.9999330141402583,1.0759027731963353,High
Australia,2022-03-21/2022-03-27,385762.0,0.5125285714285714,22193476.0,1.2728033401016101,2.440148612222734,1.0012727313350929,1.340262774628498,High
Australia,2022-03-28/2022-04-03,395982.0,0.4797714285714285,22218298.0,1.3065237431891055,2.2509850531988027,1.0024007659419512,1.290746525322841,High
Australia,2022-04-04/2022-04-10,359765.0,0.4909428571428571,22231734.0,1.1870274771793379,2.315497003986729,1.0030113643215237,1.2534859853367954,High
Australia,2022-04-11/2022-04-17,306184.0,0.4773428571428572,,1.0102395204443968,2.2369607160709934,,1.288056010847046,High
Australia,2022-04-18/2022-04-24,289282.0,0.5327000000000001,,0.95447217670811,2.556633106484309,,1.3720576756235632,High
Australia,2022-04-25/2022-05-01,272054.0,0.5119857142857143,,0.8976292115034747,2.437013760394165,,1.301769421889695,High
Australia,2022-05-02/2022-05-08,304061.0,0.5124571428571428,,1.0032347830907027,2.4397361317189747,,1.3555250376469925,High
Australia,2022-05-09/2022-05-15,350375.0,0.5492,,1.1560456195480675,2.6519161028526645,,1.5061934457724662,High
