location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
India,2022-08-29/2022-09-04,17117080.0,15638308.0,607387.0,0.0061428571428571435,1725.4285714285713,2132658458.0,1024831365.0,943294210.0,164532883.0,150.49,72.32,66.56,11.61
India,2022-09-05/2022-09-11,16817418.0,17463944.0,518172.0,0.005,1695.2857142857142,2150122402.0,1025330630.0,944970466.0,179821306.0,151.72,72.35,66.68,12.69
India,2022-09-12/2022-09-18,16793079.0,15860248.0,498743.0,0.005,1692.7142857142858,2165982650.0,1025814756.0,946508327.0,193659567.0,152.84,72.38,66.79,13.67
India,2022-09-19/2022-09-25,11739206.0,9974815.0,392691.0,0.003857142857142857,1183.4285714285713,2175957465.0,1026153814.0,947573788.0,202229863.0,153.54,72.41,66.86,14.27
India,2022-09-26/2022-10-02,11098597.0,11591297.0,306362.0,0.003,1118.857142857143,2187548762.0,1026427876.0,948592361.0,212528525.0,154.36,72.43,66.94,15.0
India,2022-10-03/2022-10-09,6147721.0,2241664.0,157668.0,0.0015714285714285713,619.5714285714286,2189790426.0,1026515438.0,948925816.0,214349172.0,154.52,72.43,66.96,15.13
India,2022-10-10/2022-10-16,3028829.0,2576192.0,129411.0,0.0012857142857142859,305.14285714285717,2193219253.0,1026669165.0,949453930.0,217096158.0,154.76,72.44,67.0,15.32
India,2022-10-17/2022-10-23,2899224.0,2360931.0,152752.0,0.0017142857142857144,292.42857142857144,2195580184.0,1026816174.0,949937200.0,218826810.0,154.93,72.46,67.03,15.44
India,2022-10-24/2022-10-30,1341009.0,755564.0,83337.0,0.0007142857142857143,135.14285714285714,2196335748.0,1026856716.0,950090439.0,219388593.0,154.98,72.46,67.04,15.48
India,2022-10-31/2022-11-06,878898.0,779119.0,47659.0,0.0004285714285714286,88.57142857142857,2197262288.0,1026907906.0,950278552.0,220075830.0,155.05,72.46,67.05,15.53
India,2022-11-07/2022-11-13,842015.0,716474.0,51575.0,0.0007142857142857143,84.71428571428571,2197978762.0,1026954849.0,950447893.0,220576020.0,155.1,72.47,67.07,15.56
India,2022-11-14/2022-11-20,677209.0,625141.0,42616.0,0.0,68.28571428571429,2198603903.0,1026996633.0,950606106.0,221001164.0,155.14,72.47,67.08,15.59
India,2022-11-21/2022-11-27,524446.0,454695.0,42801.0,0.0,53.0,2199058598.0,1027035849.0,950724853.0,221297896.0,155.17,72.47,67.09,15.62
India,2022-11-28/2022-12-04,399734.0,345782.0,30718.0,0.0,40.285714285714285,2199404380.0,1027062119.0,950823043.0,221519218.0,155.2,72.47,67.09,15.63
India,2022-12-05/2022-12-11,298164.0,278715.0,25228.0,0.0,30.142857142857142,2199683095.0,1027087217.0,950909151.0,221686727.0,155.22,72.47,67.1,15.64
